location,total_sqft,bath,balcony,price,bhk
Electronic City,1350.0,2.0,1.0,56.0,3
Haralur Road,1243.0,2.0,1.0,46.0,2
Hebbal,1255.0,3.0,2.0,77.68,3
Whitefield,1170.0,2.0,1.0,56.0,2
Haralur Road,1309.0,2.0,1.0,82.0,2
Raja Rajeshwari Nagar,1133.0,2.0,2.0,38.41,2
7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3
Haralur Road,953.0,2.0,1.0,90.0,2
Thanisandra,965.0,2.0,1.0,54.0,2
Raja Rajeshwari Nagar,1120.0,2.0,2.0,37.95,2
Electronic City,825.0,2.0,1.0,35.0,2
Yelahanka,1355.0,2.0,3.0,75.0,3
Kanakpura Road,700.0,2.0,1.0,40.0,2
Hennur Road,1586.0,3.0,3.0,93.94,3
Kanakpura Road,1080.0,2.0,1.0,37.8,2
Whitefield,1346.0,2.0,1.0,76.01,2
Bannerghatta Road,1527.0,3.0,2.0,115.0,3
7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2
Whitefield,1254.0,2.0,2.0,40.0,2
Uttarahalli,1385.0,2.0,2.0,48.48,3
Marathahalli,1200.0,2.0,1.0,67.0,2
Kanakpura Road,1230.0,2.0,1.0,85.0,2
Raja Rajeshwari Nagar,1128.0,2.0,1.0,48.79,2
Bannerghatta Road,1655.0,2.0,2.0,62.89,3
Whitefield,1639.5,3.0,0.0,92.63,3
Raja Rajeshwari Nagar,1303.0,2.0,1.0,55.79,2
Thanisandra,1430.0,2.0,2.0,51.48,3
Whitefield,1650.0,3.0,2.0,48.0,3
Uttarahalli,1050.0,2.0,1.0,42.0,2
Bannerghatta Road,1788.0,3.0,2.0,90.0,3
Yelahanka,1603.0,3.0,2.0,96.0,3
Sarjapur  Road,1750.0,3.0,3.0,99.0,3
Kanakpura Road,1300.0,2.0,3.0,69.0,3
Kanakpura Road,1938.0,3.0,3.0,92.69,3
Haralur Road,575.0,1.0,1.0,38.0,1
Electronic City,635.0,1.0,0.0,28.0,1
Whitefield,1216.0,2.0,1.0,83.0,2
Uttarahalli,1125.0,2.0,1.0,47.0,2
Whitefield,1205.0,2.0,1.0,40.0,2
Electronic City,1128.0,2.0,1.0,65.45,2
Marathahalli,1610.0,3.0,1.0,90.0,3
Whitefield,1125.0,2.0,2.0,40.0,2
Hennur Road,2047.0,3.0,2.0,67.55,3
Hennur Road,1053.0,2.0,1.0,53.0,2
Hebbal,1255.0,2.0,1.0,95.0,3
7th Phase JP Nagar,1415.0,3.0,1.0,65.0,3
Whitefield,1180.0,2.0,1.0,77.0,2
Electronic City,550.0,1.0,1.0,15.0,2
Electronic City Phase II,1900.0,3.0,1.0,97.0,4
Whitefield,2135.0,3.0,2.0,149.0,4
Thanisandra,1340.0,2.0,1.0,66.33,2
Yelahanka,1616.0,3.0,1.0,65.0,3
Whitefield,950.0,1.0,1.0,50.0,1
Electronic City,970.0,2.0,1.0,35.0,2
Marathahalli,1385.0,2.0,2.0,68.5,3
Bannerghatta Road,1215.0,2.0,1.0,68.0,2
Kanakpura Road,1100.0,3.0,2.0,53.0,3
7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3
Thanisandra,1241.0,2.0,1.0,68.0,3
Haralur Road,1200.0,2.0,2.0,46.0,2
Electronic City,1500.0,2.0,1.0,64.5,3
Marathahalli,1220.0,2.0,1.0,56.5,2
Hennur Road,1975.0,3.0,3.0,123.0,3
Haralur Road,1225.0,2.0,1.0,70.0,2
Whitefield,650.0,1.0,1.0,25.0,1
Whitefield,1564.0,3.0,1.0,103.0,3
Whitefield,1870.0,3.0,2.0,90.0,3
Marathahalli,1100.0,2.0,1.0,50.0,2
Kanakpura Road,1300.0,2.0,2.0,55.0,3
Electronic City Phase II,545.0,1.0,1.0,28.0,2
Electronic City Phase II,1220.0,3.0,1.0,35.23,3
Bannerghatta Road,950.0,2.0,0.0,38.0,2
Uttarahalli,1460.0,3.0,3.0,76.0,3
Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.44,2
Kanakpura Road,525.0,1.0,1.0,26.01,1
Kanakpura Road,700.0,2.0,1.0,34.98,2
Sarjapur  Road,1350.0,2.0,2.0,102.0,2
Kanakpura Road,1570.0,3.0,3.0,64.5,3
Kanakpura Road,1495.0,2.0,2.0,90.0,2
Thanisandra,1430.0,2.0,2.0,54.0,3
Kanakpura Road,1843.0,3.0,2.0,88.0,3
Whitefield,1870.0,3.0,2.0,90.0,3
Kanakpura Road,1450.0,3.0,3.0,60.91,3
Sarjapur  Road,1050.0,2.0,1.0,62.0,2
Whitefield,1312.0,2.0,2.0,55.0,2
Yelahanka,1267.0,3.0,1.0,78.0,2
Uttarahalli,1125.0,2.0,1.0,47.0,2
Electronic City,880.0,1.0,1.0,16.5,2
Sarjapur  Road,1128.0,2.0,2.0,59.0,2
Bannerghatta Road,1215.0,2.0,1.0,68.0,2
Electronic City Phase II,1065.0,2.0,1.0,30.88,2
Whitefield,1277.0,2.0,1.0,77.0,2
Hebbal,1100.0,2.0,1.0,54.0,2
Uttarahalli,1329.0,2.0,1.0,56.0,3
Yelahanka,1200.0,2.0,2.0,55.0,2
Haralur Road,1255.0,3.0,1.0,90.0,3
Whitefield,1255.0,2.0,2.0,40.0,2
Electronic City,1156.0,2.0,2.0,44.0,3
Kanakpura Road,1596.0,3.0,1.0,118.0,3
Whitefield,1150.0,2.0,2.0,55.0,2
Bannerghatta Road,1200.0,2.0,2.0,75.0,2
Thanisandra,663.0,1.0,0.0,46.1,1
Uttarahalli,1135.0,2.0,3.0,39.73,3
Kanakpura Road,1550.0,3.0,3.0,64.5,3
Raja Rajeshwari Nagar,1550.0,3.0,3.0,52.45,3
7th Phase JP Nagar,2100.0,3.0,2.0,200.0,3
Whitefield,1175.0,2.0,1.0,39.0,2
Hennur Road,1904.0,3.0,2.0,129.0,3
Hennur Road,1804.0,3.0,2.0,102.0,3
Uttarahalli,1065.0,2.0,1.0,42.59,2
Marathahalli,1205.0,2.0,1.0,75.0,2
Sarjapur  Road,1035.0,2.0,1.0,45.0,2
Bannerghatta Road,970.0,2.0,1.0,57.0,2
Marathahalli,1102.0,2.0,2.0,53.67,2
Yelahanka,1590.0,2.0,1.0,54.0,3
Yelahanka,1890.0,3.0,2.0,108.0,3
Electronic City Phase II,972.0,2.0,1.0,40.0,2
Whitefield,1700.0,3.0,2.0,95.0,3
Kanakpura Road,900.0,2.0,1.0,41.0,2
Sarjapur  Road,1660.0,3.0,2.0,116.0,3
Yelahanka,1721.0,3.0,3.0,80.86,3
Thanisandra,1436.0,3.0,1.0,74.75,3
Electronic City,1200.0,4.0,1.0,125.0,4
Haralur Road,1194.0,2.0,2.0,47.0,2
Raja Rajeshwari Nagar,1140.0,2.0,2.0,38.55,2
Raja Rajeshwari Nagar,1531.0,3.0,3.0,51.77,3
Sarjapur  Road,1145.0,2.0,2.0,49.5,2
7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3
Bannerghatta Road,1460.0,2.0,2.0,72.0,3
Sarjapur  Road,1850.0,3.0,2.0,140.0,3
7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3
Electronic City Phase II,925.0,2.0,1.0,49.82,3
Yelahanka,602.0,2.0,1.0,30.0,1
7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2
Whitefield,1175.0,2.0,1.0,41.0,2
Yelahanka,1756.0,3.0,2.0,66.73,3
Thanisandra,1234.0,2.0,2.0,51.0,2
Electronic City,1128.0,2.0,1.0,65.35,2
Electronic City Phase II,972.0,2.0,1.0,44.0,2
Kanakpura Road,1698.0,2.0,1.0,105.0,2
Sarjapur  Road,1240.0,4.0,0.0,110.0,4
Haralur Road,1464.0,2.0,2.0,56.0,2
Hennur Road,1297.0,2.0,1.0,49.9,2
Whitefield,2225.0,3.0,3.0,115.0,3
7th Phase JP Nagar,1212.0,3.0,1.0,42.0,2
Marathahalli,1550.0,3.0,2.0,83.0,3
Uttarahalli,1350.0,2.0,2.0,47.24,3
Whitefield,1200.0,3.0,1.0,61.96,3
Sarjapur  Road,1665.0,3.0,2.0,74.93,3
Thanisandra,1743.0,3.0,2.0,93.25,3
Raja Rajeshwari Nagar,1571.0,3.0,3.0,53.12,3
Electronic City,1005.0,2.0,1.0,39.77,2
Hebbal,1420.0,2.0,1.0,99.39,2
Electronic City Phase II,1400.0,2.0,2.0,41.58,3
Uttarahalli,993.0,2.0,1.0,39.71,2
Kanakpura Road,1100.0,3.0,2.0,56.57,3
Electronic City,1500.0,2.0,1.0,63.0,3
Bannerghatta Road,700.0,1.0,1.0,31.2,1
7th Phase JP Nagar,2100.0,3.0,2.0,200.0,3
Electronic City,1599.0,3.0,2.0,125.0,3
Hennur Road,1232.0,2.0,1.0,87.0,2
Haralur Road,1140.0,2.0,1.0,42.0,2
Electronic City,1220.0,2.0,1.0,35.25,3
Yelahanka,1653.0,3.0,2.0,120.0,3
Sarjapur  Road,1019.0,2.0,1.0,62.0,2
Kanakpura Road,525.0,1.0,1.0,30.0,1
Yelahanka,827.5,1.0,0.0,42.535,1
Marathahalli,1250.0,2.0,2.0,68.0,2
Electronic City,770.0,1.0,1.0,38.0,2
Raja Rajeshwari Nagar,1608.0,3.0,3.0,54.51,3
Electronic City,870.0,2.0,2.0,24.0,2
Yelahanka,1075.0,2.0,1.0,42.0,3
Thanisandra,1702.0,3.0,2.0,107.0,3
Hebbal,1100.0,2.0,2.0,50.0,2
Electronic City,1221.0,2.0,2.0,68.0,2
Hebbal,2080.0,3.0,3.0,175.0,3
7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3
Whitefield,905.0,1.0,1.0,52.0,1
Electronic City,1000.0,2.0,2.0,41.0,2
Sarjapur  Road,1278.0,2.0,2.0,95.0,2
Electronic City,1152.0,2.0,1.0,65.0,2
Whitefield,1216.0,2.0,1.0,82.0,2
Electronic City,1000.0,2.0,1.0,28.88,2
Thanisandra,1146.0,2.0,1.0,38.0,2
Uttarahalli,1345.0,2.0,1.0,67.0,2
Uttarahalli,1125.0,2.0,1.0,48.0,2
Electronic City Phase II,1192.0,2.0,3.0,47.0,3
Bannerghatta Road,905.0,2.0,1.0,65.0,2
Uttarahalli,1300.0,2.0,1.0,47.0,3
Sarjapur  Road,1965.0,3.0,3.0,120.0,3
Thanisandra,1100.0,2.0,1.0,38.0,2
Whitefield,1200.0,3.0,2.0,68.5,3
Electronic City Phase II,1305.0,3.0,1.0,65.0,3
Uttarahalli,1580.0,3.0,1.0,60.0,3
Haralur Road,1056.0,2.0,1.0,65.0,2
Thanisandra,1220.0,2.0,1.0,44.6,2
Kanakpura Road,1843.0,3.0,2.0,96.2,3
Uttarahalli,1590.0,3.0,2.0,57.0,3
Thanisandra,1200.0,2.0,3.0,60.0,2
Thanisandra,1241.0,2.0,1.0,61.0,3
Marathahalli,1220.0,2.0,1.0,58.5,2
Sarjapur  Road,1755.0,3.0,2.0,122.0,3
Thanisandra,1411.0,3.0,2.0,100.0,3
Thanisandra,1240.0,2.0,1.0,62.0,3
Sarjapur  Road,1750.0,3.0,2.0,110.0,3
Haralur Road,1230.0,2.0,1.0,67.65,2
Uttarahalli,1590.0,3.0,2.0,57.0,3
Electronic City,1130.0,2.0,1.0,32.63,2
Sarjapur  Road,1862.0,4.0,1.0,110.0,3
Electronic City Phase II,1329.0,2.0,2.0,41.0,3
Kanakpura Road,1843.0,3.0,2.0,96.2,3
Thanisandra,1250.0,1.0,1.0,54.0,2
Hennur Road,1385.0,2.0,1.0,83.09,2
Kanakpura Road,670.0,1.0,1.0,35.0,1
Kanakpura Road,1300.0,3.0,2.0,69.0,3
Hennur Road,987.0,2.0,1.0,49.0,2
Hebbal,1040.0,2.0,1.0,55.0,2
Electronic City,1020.0,2.0,1.0,29.45,2
Thanisandra,1260.0,2.0,1.0,45.5,2
Thanisandra,1564.0,3.0,1.0,104.0,3
Uttarahalli,1037.0,2.0,1.0,36.0,2
7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
Yelahanka,1355.0,2.0,2.0,51.5,3
Raja Rajeshwari Nagar,1141.0,2.0,2.0,38.55,2
Uttarahalli,1330.0,2.0,1.0,57.0,3
Whitefield,1500.0,3.0,1.0,130.0,3
Raja Rajeshwari Nagar,1157.0,2.0,1.0,65.0,2
Haralur Road,1520.0,2.0,2.0,85.0,3
Bannerghatta Road,1920.0,3.0,3.0,122.0,3
Electronic City,2093.0,4.0,1.0,104.0,4
Kanakpura Road,1080.0,2.0,1.0,37.8,2
Raja Rajeshwari Nagar,1570.0,2.0,2.0,65.0,3
Thanisandra,1226.0,2.0,1.0,65.59,2
Thanisandra,933.0,1.0,1.0,61.0,1
Whitefield,1338.0,2.0,1.0,103.0,2
Hennur Road,2160.0,3.0,2.0,160.0,3
Whitefield,1180.0,2.0,2.0,70.0,2
Uttarahalli,1286.0,2.0,2.0,63.0,2
Kanakpura Road,700.0,2.0,1.0,41.0,2
Hennur Road,1590.0,3.0,2.0,105.0,3
Electronic City Phase II,1025.0,2.0,1.0,26.65,2
Sarjapur  Road,1592.0,3.0,1.0,91.0,3
Electronic City Phase II,1549.0,3.0,2.0,80.0,3
Bannerghatta Road,1200.0,2.0,2.0,69.0,3
Kanakpura Road,1570.0,3.0,2.0,68.0,3
Electronic City,1070.0,2.0,1.0,60.0,2
Marathahalli,1314.0,2.0,3.0,55.0,2
Thanisandra,662.0,1.0,0.0,38.0,1
Raja Rajeshwari Nagar,1090.0,2.0,1.0,42.0,2
Uttarahalli,1330.0,2.0,1.0,58.0,3
Whitefield,1330.0,2.0,2.0,55.0,3
Thanisandra,1185.0,2.0,2.0,43.5,2
Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2
Whitefield,2155.0,3.0,3.0,125.0,4
Kanakpura Road,525.0,1.0,1.0,27.0,1
Uttarahalli,1330.0,2.0,2.0,46.55,3
Raja Rajeshwari Nagar,1560.0,4.0,1.0,160.0,4
Whitefield,1141.0,2.0,1.0,62.0,2
Whitefield,1195.0,2.0,1.0,61.36,2
Electronic City,1125.0,2.0,1.0,32.49,2
Hebbal,919.0,2.0,1.0,49.0,2
Electronic City Phase II,1090.0,2.0,1.0,28.34,2
Kanakpura Road,1800.0,3.0,2.0,90.0,3
Whitefield,1140.0,2.0,3.0,55.0,2
Electronic City,1210.0,2.0,1.0,54.0,2
Haralur Road,1027.0,2.0,2.0,43.0,2
Raja Rajeshwari Nagar,648.0,1.0,1.0,31.75,1
Yelahanka,1633.0,2.0,1.0,72.0,2
Sarjapur  Road,984.0,2.0,1.0,55.0,2
Electronic City,1360.0,2.0,1.0,70.5,3
Hennur Road,1140.0,2.0,2.0,56.0,2
Sarjapur  Road,1500.0,3.0,2.0,88.0,3
Electronic City Phase II,1003.0,2.0,1.0,40.6,2
Sarjapur  Road,1550.0,2.0,2.0,69.75,3
Whitefield,1220.0,2.0,1.0,89.0,2
Electronic City Phase II,1090.0,2.0,1.0,31.48,2
Thanisandra,2072.0,3.0,2.0,122.0,3
Sarjapur  Road,1350.0,2.0,2.0,68.0,2
Haralur Road,1285.0,2.0,1.0,78.0,2
Whitefield,1610.0,3.0,2.0,81.0,3
Hebbal,1987.0,4.0,2.0,165.0,3
Uttarahalli,1312.5,3.0,0.0,51.19,3
Yelahanka,1653.0,3.0,3.0,93.0,3
Bannerghatta Road,1122.5,2.0,0.0,61.74,2
Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2
Electronic City Phase II,1031.0,2.0,1.0,55.0,2
Kanakpura Road,1550.0,3.0,3.0,65.11,3
Electronic City,660.0,1.0,1.0,18.0,2
Kanakpura Road,712.0,1.0,1.0,38.44,1
Marathahalli,1350.0,2.0,1.0,86.0,2
Sarjapur  Road,1270.0,2.0,1.0,54.0,3
Whitefield,1530.0,3.0,3.0,73.0,3
Yelahanka,1100.0,2.0,1.0,70.0,2
Hebbal,1162.0,2.0,1.0,69.0,2
Hebbal,1255.0,2.0,1.0,95.0,3
Hennur Road,1385.0,2.0,1.0,83.09,2
Marathahalli,1730.0,3.0,2.0,115.0,3
Electronic City Phase II,1165.0,2.0,1.0,33.64,2
Uttarahalli,1200.0,2.0,1.0,55.0,2
Hennur Road,1232.0,2.0,2.0,89.0,2
Marathahalli,1200.0,2.0,2.0,58.0,2
7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2
Bannerghatta Road,1115.0,2.0,1.0,61.0,2
Electronic City,589.0,1.0,1.0,27.0,1
Hennur Road,2182.0,3.0,2.0,72.04,3
Sarjapur  Road,1300.0,3.0,2.0,60.0,3
Whitefield,1215.0,2.0,3.0,65.0,2
Whitefield,1768.0,3.0,2.0,101.0,3
Sarjapur  Road,1691.0,3.0,2.0,113.0,3
Hebbal,1420.0,2.0,1.0,123.0,2
Whitefield,1197.0,2.0,1.0,50.0,2
Sarjapur  Road,984.0,2.0,1.0,44.28,2
Kanakpura Road,1700.0,3.0,2.0,75.0,3
Sarjapur  Road,1200.0,3.0,2.0,70.0,3
Electronic City,1125.0,2.0,1.0,32.5,2
Kanakpura Road,1660.0,3.0,3.0,75.0,3
Uttarahalli,1265.0,2.0,2.0,65.0,3
Sarjapur  Road,1230.0,2.0,3.0,94.5,2
Raja Rajeshwari Nagar,1021.0,3.0,2.0,59.0,3
7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3
Electronic City,1090.0,2.0,1.0,31.49,2
Yelahanka,1132.5,2.0,0.0,48.13,2
Hennur Road,1866.0,2.0,2.0,61.58,3
Electronic City,660.0,1.0,1.0,16.0,2
Kanakpura Road,1938.0,3.0,3.0,105.0,3
Whitefield,1276.0,2.0,1.0,69.5,2
Electronic City,630.0,1.0,1.0,47.0,1
Kanakpura Road,1570.0,3.0,3.0,65.93,3
Sarjapur  Road,1797.0,4.0,1.0,95.0,3
Sarjapur  Road,1150.0,2.0,0.0,44.0,2
Electronic City,418.0,1.0,1.0,12.0,1
Yelahanka,1712.0,3.0,3.0,82.0,3
Bannerghatta Road,1460.0,2.0,2.0,75.0,3
Whitefield,1500.0,4.0,3.0,200.0,4
Raja Rajeshwari Nagar,1295.0,2.0,2.0,55.47,2
Raja Rajeshwari Nagar,1267.0,2.0,2.0,42.85,2
Whitefield,1269.0,2.0,1.0,75.0,2
Electronic City,1025.0,2.0,1.0,29.6,2
Sarjapur  Road,1157.0,2.0,1.0,57.84,3
Sarjapur  Road,1495.0,2.0,0.0,64.0,3
Haralur Road,1850.0,3.0,2.0,120.0,3
Sarjapur  Road,1026.0,2.0,1.0,60.55,2
Bannerghatta Road,1453.0,2.0,2.0,73.0,3
Haralur Road,1027.0,2.0,1.0,44.0,2
Electronic City Phase II,1056.0,2.0,1.0,39.07,2
Kanakpura Road,1450.0,3.0,3.0,53.6,3
Sarjapur  Road,1035.0,2.0,1.0,47.0,2
Hebbal,1000.0,2.0,2.0,45.0,2
Hebbal,1636.0,3.0,1.0,119.0,3
7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3
Electronic City,1652.0,3.0,2.0,70.0,3
Thanisandra,1450.0,2.0,1.0,57.0,2
Sarjapur  Road,702.0,1.0,0.0,35.8,1
Uttarahalli,1123.0,2.0,1.0,48.0,2
Sarjapur  Road,1059.0,2.0,2.0,68.0,2
Whitefield,1362.0,2.0,3.0,85.0,2
Electronic City,1521.0,2.0,2.0,57.5,3
Haralur Road,1225.0,2.0,1.0,67.38,2
Electronic City,1100.0,2.0,1.0,41.0,2
Hebbal,687.325,2.0,0.0,42.72,2
Whitefield,1277.0,2.0,1.0,61.3,2
Whitefield,1015.0,2.0,1.0,45.0,2
Hebbal,1110.0,3.0,3.0,59.0,3
Kanakpura Road,1299.0,2.0,1.0,89.63,2
Uttarahalli,1190.0,2.0,1.0,53.55,2
Thanisandra,1100.0,2.0,1.0,36.0,2
Yelahanka,602.0,1.0,1.0,38.0,1
Yelahanka,1550.0,3.0,1.0,120.0,3
Raja Rajeshwari Nagar,1700.0,2.0,2.0,86.0,3
Electronic City,995.0,2.0,1.0,48.0,2
Whitefield,1180.0,2.0,2.0,41.0,2
Thanisandra,1573.0,3.0,1.0,90.0,3
Electronic City,1128.0,2.0,1.0,64.0,2
Whitefield,1250.0,2.0,2.0,85.0,2
Marathahalli,1937.0,3.0,2.0,160.0,3
Bannerghatta Road,1640.0,3.0,2.0,105.0,3
Yelahanka,1175.0,2.0,1.0,67.77,2
Sarjapur  Road,1229.0,2.0,2.0,70.0,2
Sarjapur  Road,534.0,1.0,1.0,19.65,1
Hebbal,1860.0,3.0,2.0,95.0,3
Sarjapur  Road,1877.0,4.0,2.0,150.0,3
Haralur Road,1140.0,2.0,2.0,43.0,2
Whitefield,1130.0,2.0,1.0,42.16,2
Whitefield,1720.0,3.0,3.0,98.97,3
Electronic City,710.0,1.0,1.0,40.42,1
Haralur Road,1245.0,2.0,3.0,62.0,2
Kanakpura Road,1100.0,3.0,2.0,53.0,3
Whitefield,1200.0,2.0,1.0,45.0,2
Electronic City,1025.0,2.0,1.0,50.0,2
Thanisandra,1098.0,2.0,1.0,68.0,2
Kanakpura Road,1339.0,2.0,2.0,62.0,2
Thanisandra,1917.0,3.0,3.0,122.0,3
Whitefield,1396.0,3.0,1.0,74.0,3
Haralur Road,1243.0,2.0,2.0,46.0,2
Electronic City Phase II,1140.0,2.0,1.0,33.06,2
Sarjapur  Road,1525.0,2.0,2.0,60.0,3
Yelahanka,682.0,1.0,1.0,36.23,1
Sarjapur  Road,1700.0,3.0,2.0,93.5,3
Uttarahalli,1345.0,2.0,1.0,57.0,3
Bannerghatta Road,1015.0,2.0,0.0,48.0,2
Whitefield,1100.0,2.0,1.0,37.0,2
Bannerghatta Road,1510.0,2.0,3.0,110.0,3
Uttarahalli,1525.0,2.0,2.0,62.82,3
Whitefield,530.0,1.0,1.0,29.44,1
Haralur Road,1225.0,2.0,1.0,69.84,2
Kanakpura Road,1843.0,3.0,2.0,95.0,3
Uttarahalli,1065.0,2.0,1.0,42.6,2
7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
Uttarahalli,1350.0,2.0,2.0,47.24,3
Whitefield,1655.0,3.0,1.0,113.0,3
Thanisandra,1075.0,2.0,2.0,45.8,2
Yelahanka,1537.0,3.0,3.0,120.0,3
Whitefield,1102.0,2.0,1.0,48.0,2
7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
Marathahalli,1785.0,3.0,2.0,94.0,3
Thanisandra,1917.0,4.0,2.0,113.0,3
Hebbal,1760.0,2.0,2.0,130.0,3
Electronic City,1296.0,2.0,2.0,65.0,2
Electronic City Phase II,575.0,1.0,1.0,16.75,1
Kanakpura Road,1300.0,3.0,2.0,69.0,3
Whitefield,1216.0,2.0,1.0,79.0,2
Sarjapur  Road,2089.0,3.0,2.0,148.0,3
Whitefield,1195.0,2.0,1.0,62.38,2
Electronic City,1160.0,2.0,2.0,42.0,3
Bannerghatta Road,1344.0,2.0,1.0,42.0,3
Whitefield,1436.0,2.0,3.0,62.15,3
Hebbal,1255.0,2.0,1.0,95.0,3
7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
Electronic City Phase II,1069.0,2.0,2.0,45.0,2
Electronic City Phase II,1125.0,2.0,1.0,32.63,2
Sarjapur  Road,1403.0,3.0,1.0,55.0,3
Electronic City,1025.0,2.0,1.0,54.5,2
Electronic City,1128.0,2.0,1.0,65.4,2
Haralur Road,1243.0,2.0,2.0,46.0,2
Uttarahalli,1285.0,2.0,2.0,44.98,3
Kanakpura Road,525.0,1.0,1.0,25.0,1
Sarjapur  Road,1435.0,3.0,2.0,90.0,3
Electronic City,550.0,1.0,1.0,16.0,2
Marathahalli,1449.0,3.0,2.0,110.0,3
7th Phase JP Nagar,1300.0,2.0,2.0,52.0,3
Marathahalli,1060.0,2.0,1.0,48.0,2
Electronic City Phase II,775.0,2.0,2.0,38.0,2
Yelahanka,1362.0,2.0,2.0,66.0,2
Electronic City,1275.0,3.0,3.0,63.43,3
Uttarahalli,1300.0,2.0,2.0,60.0,3
Kanakpura Road,1339.0,2.0,2.0,58.0,2
Hennur Road,1020.0,2.0,3.0,47.0,2
Raja Rajeshwari Nagar,1560.0,2.0,2.0,62.4,3
Whitefield,1320.0,2.0,1.0,95.0,2
Whitefield,1140.0,2.0,2.0,40.0,2
Whitefield,630.5,1.0,0.0,32.79,1
Raja Rajeshwari Nagar,1120.0,2.0,2.0,37.97,2
Whitefield,1500.0,3.0,1.0,78.57,3
Sarjapur  Road,1346.0,2.0,1.0,74.03,2
Sarjapur  Road,1210.0,2.0,2.0,58.0,2
Yelahanka,1391.0,2.0,2.0,64.5,3
Whitefield,1862.0,3.0,2.0,125.0,3
Thanisandra,1185.0,2.0,2.0,42.1,2
Whitefield,1250.0,2.0,2.0,82.0,2
Electronic City Phase II,1125.0,2.0,1.0,29.25,2
Whitefield,1355.0,2.0,3.0,78.0,2
Bannerghatta Road,1157.0,2.0,0.0,40.0,2
Bannerghatta Road,1650.0,3.0,1.0,94.0,3
Whitefield,1457.0,2.0,2.0,105.0,3
